country,word_guagua,word_bus,word_colectivo,word_bondi,word_microbús,word_buseta,word_autobús,word_camioneta,word_camión,word_ómnibus
CUB,guagua,,,,,,,,,
PRI,guagua,,,,,,,,,
CRI,,bus,,,,,,,,
ECU,,bus,,,,,,,,
HND,,bus,,,,,,,,
NIC,,bus,,,,,,,,
PAN,,bus,,,,,,,,
ARG,,,colectivo,bondi,microbús,,,,,
BOL,,bus,,,microbús,,,,,
CHL,,bus,,,microbús,,,,,
COL,,bus,,,,buseta,,,,
DOM,guagua,,,,,,autobús,,,
SLV,,bus,,,,,autobús,,,
GTM,,bus,,,,,autobús,camioneta,,
MEX,,,colectivo,,microbús,,autobús,,camión,
PRY,,,colectivo,,,,,,,ómnibus
PER,,bus,,,microbús,,,,,ómnibus
URY,,,,,,,,,,ómnibus
VEN,,bus,,,,,autobús,,,
