country,word_bus_ld,word_guagua_ld,word_colectivo_ld,word_microbús_ld,word_ómnibus_ld,word_flota,word_autobús_ld,word_metro,word_espreso,word_camioneta_ld,word_camión_ld,word_autocar
CHL,bus,,,,,,,,,,,
CRI,bus,,,,,,,,,,,
ECU,bus,,,,,,,,,,,
SLV,bus,,,,,,,,,,,
NIC,bus,,,,,,,,,,,
PAN,bus,,,,,,,,,,,
CUB,,guagua,,,,,,,,,,
PRI,,guagua,,,,,,,,,,
ARG,,,colectivo,microbús,ómnibus,,,,,,,
BOL,bus,,,,,flota,,,,,,
COL,bus,,,,,flota,,,,,,
DOM,,guagua,,,,,autobús,metro,espreso,,,
GTM,bus,,,,,,,,,camioneta,,
HND,bus,,,,,,autobús,,,,,
MEX,,,,,,,autobús,,,,camión,
PRY,,,colectivo,microbús,ómnibus,,,,,,,
PER,bus,,,,ómnibus,,,,,,,
URY,,,,,ómnibus,,,,,,,
VEN,bus,,,,,,autobús,,,,,
