country,word_miniván,word_vagoneta,word_van,word_yipeta,word_camioneta,word_miniblaser,word_camionetilla,word_minicamioneta,word_minibús,word_auto_familiar,word_guagua
CRI,miniván,,,,,,,,,,
CUB,miniván,,,,,,,,,,
BOL,miniván,vagoneta,,,,,,,,,
CHL,miniván,,van,,,,,,,,
COL,miniván,,,,camioneta,,,,,,
DOM,miniván,,,yipeta,,,,,,,
ECU,miniván,,,,,miniblaser,,,,,
SLV,,,,,camioneta,,,,,,
GTM,miniván,,van,,camioneta,,camionetilla,minicamioneta,,,
HND,miniván,,,,camioneta,,,,minibús,,
MEX,miniván,,van,,camioneta,,,,,,
NIC,miniván,,van,,camioneta,,,,,,
PAN,miniván,,van,,camioneta,,,,,,
PRY,miniván,,,,camioneta,,,,,auto familiar,
PER,miniván,,,,camioneta,,,,,,
PRI,miniván,,,,,,,,,,guagua
URY,,,,,camioneta,,,,,,
VEN,miniván,,van,,camioneta,,,,,,
